No,Page,Pair,TF,SignalBar,Dir,Cluster,LayerTouched,DPI_Reset,Session,ApproxMFE_pips,Verdict,Note,ClusterMain
1,a-000,USDJPY,H4,2012-10-31 20:00,L,C,W13,N,EU/US,60,Small,"+60 then -60 reversal; ribbon flat, late in run",C
2,a-001,EURUSD,M15,2012-10-30 12:15,L,C,W13,N,EU,15,Scratch,"extended 70p above EMA89, DPI declining",C
3,a-002,EURUSD,H4,2012-11-01 16:00,S,B,S34/89,Y,US,280,Big,"deep pullback to EMA89, DPI reset",B
4,a-003,EURAUD,H4,2012-11-01 12:00,S,B,S34/89,Y,EU,300,Big,"deep pullback to EMA89, DPI reset",B
5,a-004,EURJPY,M1,2012-11-13 00:44,L,D,M34,Y,Asia,20,Small,,D
6,a-005,USDCHF,M5,2012-11-14 03:05,S,D,M13/34,Y,Asia,15,Small,bounced back to entry,D
7,a-006,GBPUSD,M5,2012-11-09 03:05,L,A,W13,Y,Asia,30,Good,breakout from Asian range,A
8,a-007,AUDUSD,M5,2012-11-12 01:00,L,A,89,Y,Asia,40,Good,breakout from range,A
9,a-008,EURUSD,M5,2012-11-14 02:50,L,D,M34/89,Y,Asia,15,Scratch,,D
10,a-009,EURUSD,M15,2012-10-25 17:00,S,B,M34,Y,US,20,Small,"+20 then back to entry, later -60",B
11,a-010,USDCHF,M15,2012-11-02 05:15,L,A,89,Y,Asia/EU,100,Big,compression then breakout,A
12,a-011,GBPUSD,M15,2012-11-09 10:00,S,A,W13,Y,EU,100,Big,first pullback after cross,A
13,a-012,AUDUSD,M15,2012-10-16 22:00,L,A,89,Y,Asia,100,Big,compression then breakout,A
14,a-013,EURUSD,M15,2012-10-16 07:15,L,A,89,Y,EU,150,Big,compression then breakout,A
15,a-014,EURJPY,M15,2012-11-05 06:30,S,B,M34,Y,EU,80,Good,,B
16,a-015,USDCHF,M30,2012-11-02 06:00,L,A,89,Y,EU,100,Big,same setup as #11,A
17,a-016,GBPUSD,M30,2012-10-25 07:00,L,C,W13/34,N,EU,90,Good,ran then full reversal,C
18,a-017,AUDUSD,M30,2012-10-23 06:30,S,B,S34/89,Y,EU,80,Good,,B
19,a-018,EURUSD,M30,2012-09-04 20:00,S,A,W13,Y,US,70,Good,then violent reversal,A
20,a-019,EURJPY,M30,2012-11-14 06:30,L,A,89,Y,EU,120,Big,,A
21,a-020,USDCHF,H1,2012-10-16 06:00,S,B,M34,Y,EU,100,Big,,B
22,a-021,GBPUSD,H1,2012-08-20 21:00,L,A/B,34/89,Y,US,300,Big,same as #36,A
23,a-022,USDJPY,H4,2012-10-23 08:00,L,C,W13,N,EU,50,Small,"late trend, chop",C
24,a-023,EURUSD,H1,2012-10-09 12:00,S,A,W13/34,Y,EU,100,Big,first pullback after cross,A
25,a-024,EURJPY,H1,2012-10-09 14:00,S,A,W13/34,Y,EU,100,Big,,A
26,a-025,USDJPY,H1,2012-11-08 06:00,S,A,89,Y,EU,70,Good,,A
27,a-026,USDCAD,H1,2012-10-16 08:00,L,A,89,Y,EU,60,Good,then full reversal,A
28,a-027,EURGBP,H1,2012-11-01 08:00,S,A,W13/34,Y,EU,30,Small,"chop, -50 much later",A
